Time,O,H,L,C,V
11/10/2019 02:00:00,1.10162,1.1018,1.10155,1.10173,949
11/10/2019 03:00:00,1.10174,1.10176,1.1015,1.10154,1487
11/10/2019 04:00:00,1.10153,1.10196,1.10149,1.10162,1680
11/10/2019 05:00:00,1.10161,1.10194,1.10143,1.10158,1861
11/10/2019 06:00:00,1.10159,1.10228,1.10122,1.10181,3880
11/10/2019 07:00:00,1.1018,1.10202,1.10091,1.10112,5843
11/10/2019 08:00:00,1.1011,1.10159,1.10009,1.10096,7095
11/10/2019 09:00:00,1.10097,1.10255,1.10075,1.10201,6027
11/10/2019 10:00:00,1.10201,1.104,1.10196,1.10352,7136
11/10/2019 11:00:00,1.10353,1.10626,1.10345,1.10542,9686
11/10/2019 12:00:00,1.10547,1.10564,1.10376,1.10458,7352
11/10/2019 13:00:00,1.1046,1.10628,1.10435,1.10538,7810
11/10/2019 14:00:00,1.10536,1.1057,1.10257,1.10349,8670
11/10/2019 15:00:00,1.10348,1.10539,1.10342,1.1039,7910
11/10/2019 16:00:00,1.10386,1.10516,1.1031,1.10507,6090
11/10/2019 17:00:00,1.10503,1.10518,1.10418,1.10468,4003
11/10/2019 18:00:00,1.10466,1.10474,1.10408,1.10431,3082
11/10/2019 19:00:00,1.10428,1.10482,1.1036,1.10406,4561
11/10/2019 20:00:00,1.10406,1.10406,1.1033,1.10365,2099
13/10/2019 21:00:00,1.10315,1.10374,1.10303,1.10359,722
13/10/2019 22:00:00,1.10367,1.10371,1.10292,1.10299,1743
13/10/2019 23:00:00,1.10298,1.10312,1.10251,1.10282,1545
14/10/2019 00:00:00,1.10281,1.1032,1.10241,1.10279,2450
14/10/2019 01:00:00,1.10278,1.10294,1.10246,1.10286,2440
14/10/2019 02:00:00,1.10285,1.1029,1.10259,1.10282,1736
14/10/2019 03:00:00,1.1028,1.10314,1.10257,1.10312,1535
14/10/2019 04:00:00,1.10314,1.10354,1.10308,1.10311,1376
14/10/2019 05:00:00,1.1031,1.10336,1.10263,1.103,2119
14/10/2019 06:00:00,1.10305,1.10322,1.1013,1.10186,5353
14/10/2019 07:00:00,1.10182,1.10302,1.10139,1.10182,5049
14/10/2019 08:00:00,1.10181,1.1033,1.10158,1.10299,3238
14/10/2019 09:00:00,1.10297,1.10391,1.10296,1.10377,4789
14/10/2019 10:00:00,1.10376,1.10426,1.10292,1.10309,2889
14/10/2019 11:00:00,1.1031,1.10313,1.10252,1.10273,2618
14/10/2019 12:00:00,1.1028,1.10319,1.10242,1.10244,3057
14/10/2019 13:00:00,1.10243,1.10286,1.10209,1.1025,4076
14/10/2019 14:00:00,1.10252,1.10305,1.10197,1.10246,4504
14/10/2019 15:00:00,1.10243,1.10271,1.10176,1.10266,3450
14/10/2019 16:00:00,1.10264,1.10307,1.10233,1.10296,2704
